step,loss,l_attack,l_perc,l_ssim,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf,vid_vid_mean_jf_clean,vid_vid_mean_jf_adv,vid_vid_delta_jf
1030,0.11637426912784576,0.11631448566913605,0.0,0.00011956971138715744,0.0,4.545037488961786e-05,,,,,,
1040,0.009377866983413696,0.009377866983413696,0.0,0.0,0.0,4.5364783969576304e-05,,,,,,
1050,0.2562406361103058,0.2448444366455078,0.0,0.022792425006628036,0.0,4.5278487778453034e-05,,,,,,
1060,0.23181703686714172,0.23181703686714172,0.0,0.0,0.0,4.519148972307392e-05,,,,,,
1070,0.02180562913417816,0.01899355836212635,0.0,0.0056241415441036224,0.0,4.510379323797322e-05,,,,,,
1080,0.06336543709039688,0.06336543709039688,0.0,0.0,0.0,4.501540178525802e-05,,,,,,
1090,0.03163047507405281,0.03163047507405281,0.0,0.0,0.0,4.49263188544715e-05,,,,,,
1100,0.02013486437499523,0.01849721372127533,0.0,0.003275301307439804,0.0,4.483654796245526e-05,,,,,,
1110,0.12318558990955353,0.12318558990955353,0.0,0.0,0.0,4.474609265321037e-05,,,,,,
1120,0.12932485342025757,0.12932485342025757,0.0,0.0,0.0,4.465495649775758e-05,,,,,,
1130,0.10889609903097153,0.10889609903097153,0.0,0.0,0.0,4.4563143093996254e-05,,,,,,
1140,0.33197686076164246,0.33197686076164246,0.0,0.0,0.0,4.447065606656236e-05,,,,,,
1150,0.22844555974006653,0.22828643023967743,0.0,0.0003182673826813698,0.0,4.437749906668536e-05,,,,,,
1160,0.2931794226169586,0.2931794226169586,0.0,0.0,0.0,4.428367577204411e-05,,,,,,
1170,0.024171926081180573,0.024171926081180573,0.0,0.0,0.0,4.418918988662165e-05,,,,,,
1180,0.15195105969905853,0.14785020053386688,0.0,0.008201714605093002,0.0,4.409404514055893e-05,,,,,,
1190,0.40898796916007996,0.40793564915657043,0.0,0.0021046511828899384,0.0,4.399824529000763e-05,,,,,,
1200,0.09978166967630386,0.09978166967630386,0.0,0.0,0.0,4.39017941169818e-05,,,,,,
1210,0.04887523502111435,0.04887523502111435,0.0,0.0,0.0,4.380469542920859e-05,,,,,,
1220,0.397244930267334,0.3858253061771393,0.0,0.022839244455099106,0.0,4.370695305997795e-05,,,,,,
1230,0.0324716754257679,0.03224260360002518,0.0,0.0004581417888402939,0.0,4.360857086799125e-05,,,,,,
1240,0.17702005803585052,0.17702005803585052,0.0,0.0,0.0,4.3509552737208976e-05,,,,,,
1250,0.19922436773777008,0.19922436773777008,0.0,0.0,0.0,4.340990257669737e-05,,,,,,
1260,0.07033064216375351,0.07033064216375351,0.0,0.0,0.0,4.330962432047417e-05,,,,,,
1270,0.013176859356462955,0.013176859356462955,0.0,0.0,0.0,4.3208721927353195e-05,,,,,,
